track_id,track_name,album_name,album_id,popular,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration
4xkOaSrkexMciUUogZKVTS,Till I Collapse,The Eminem Show,2cWBwpqMsDJC1ZUwz813lo,True,0.548,0.847,1,-3.237,0.186,0.0622,0.0,0.0816,0.1,171.447,4.963116666666667
2JzZzZUQj3Qff7wapcbKjc,See You Again (feat. Charlie Puth),See You Again (feat. Charlie Puth),5FXIqS1XqbpfOKNoi5VUwS,True,0.689,0.481,10,-7.503,0.0815,0.369,1.03e-06,0.0649,0.283,80.025,3.8254333333333337
0EcQcdcbQeVJn9fknj44Be,I Like Me Better,I Like Me Better,7l6fTSFvlumnPFpOSrbnDV,True,0.753,0.505,9,-7.621,0.255,0.534,2.58e-06,0.104,0.419,91.972,3.2906166666666667
6V1bu6o1Yo5ZXnsCJU8Ovk,Girls Like You (feat. Cardi B) - Cardi B Version,Red Pill Blues (Deluxe),1Li4rADxSxjT2g4xqUcMYh,True,0.851,0.541,0,-6.825,0.0505,0.568,0.0,0.13,0.448,124.959,3.9257500000000003
5kqIPrATaCc2LqxVWzQGbk,7 Years,Lukas Graham,4rFrdkSWs0dtj0rWPzOk1v,True,0.765,0.473,10,-5.829,0.0514,0.287,0.0,0.391,0.34,119.992,3.955
6habFhsOp2NvshLv26DqMb,Despacito,VIDA,5C0YLr4OoRGFDaqdMQmkeH,True,0.655,0.797,2,-4.787,0.153,0.198,0.0,0.067,0.839,177.928,3.822666666666667
1EzrEOXmMH3G43AXT1y7pA,I'm Yours,We Sing. We Dance. We Steal Things.,04G0YylSjvDQZrjOfE5jA5,True,0.703,0.444,11,-9.331,0.0417,0.559,0.0,0.0973,0.712,150.96,4.0491166666666665
7ytR5pFWmSjzHJIeQkgog4,ROCKSTAR (feat. Roddy Ricch),BLAME IT ON BABY,623PL2MBg50Br5dLXC9E9e,True,0.746,0.69,11,-7.956,0.164,0.247,0.0,0.101,0.497,89.977,3.0288833333333334
68Dni7IE4VyPkTOH9mRWHr,No Role Modelz,2014 Forest Hills Drive,7viNUmZZ8ztn2UB4XB3jIL,True,0.69,0.521,10,-8.492,0.339,0.324,0.0,0.0534,0.494,100.028,4.879983333333333
2iuZJX9X9P0GKaE93xcPjk,Sugar,V,2Auw0pTT6EcQdvHNimhLQI,True,0.748,0.788,1,-7.055,0.0334,0.0591,0.0,0.0863,0.884,120.076,3.9248833333333333
5ghIJDpPoe3CfHMGu71E6T,Smells Like Teen Spirit,Nevermind (Deluxe Edition),2uEf3r9i2bnxwJQsxQ0xQ7,True,0.502,0.912,1,-4.556,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,5.032
7oolFzHipTMg2nL7shhdz2,Eraser,÷ (Deluxe),3T4tUhGYeRNVUGevb0wThu,,0.64,0.812,8,-5.647,0.0834,0.086,0.0,0.0509,0.914,86.013,3.79045
6PCUP3dWmTjcTtXY02oFdT,Castle on the Hill,÷ (Deluxe),3T4tUhGYeRNVUGevb0wThu,False,0.461,0.834,2,-4.868,0.0989,0.0232,1.14e-05,0.14,0.471,135.007,4.352566666666666
51ChrwmUPDJvedPQnIU8Ls,Dive,÷ (Deluxe),3T4tUhGYeRNVUGevb0wThu,False,0.761,0.386,4,-6.158,0.0399,0.355,0.0,0.0953,0.526,134.943,3.9739999999999998
6b5P51m8xx2XA6U7sdNZ5E,Alone Again,After Hours,4yP0hdKOZPNshxUOjY0cZj,False,0.218,0.652,4,-7.953,0.0641,0.033,0.111,0.172,0.0599,65.375,4.16755
2K9Ovn1o2bTGqbsABGC6m3,Too Late,After Hours,4yP0hdKOZPNshxUOjY0cZj,False,0.638,0.863,4,-5.221,0.132,0.052,5.46e-05,0.685,0.226,120.077,3.99955
6kWxIqQDsKFYCJGbU4AjCX,Hardest To Love,After Hours,4yP0hdKOZPNshxUOjY0cZj,False,0.467,0.608,10,-7.847,0.0707,0.0909,8.83e-05,0.125,0.108,80.957,3.5233333333333334
4BGZF4oLbTL0pWm7C18pbv,Scared To Live,After Hours,4yP0hdKOZPNshxUOjY0cZj,False,0.504,0.498,0,-8.24,0.0499,0.131,0.0,0.0929,0.196,87.221,3.1884500000000005
3WlbeuhfRSqU7ylK2Ui5U7,Snowchild,After Hours,4yP0hdKOZPNshxUOjY0cZj,False,0.55,0.611,0,-7.475,0.137,0.162,6.88e-05,0.121,0.243,148.062,4.119783333333333
1ooBIqsmV1ocRldBZrvLPD,Dance Monkey - Stripped Back,Dance Monkey (Stripped Back) / Dance Monkey,0UywfDKYlyiu1b38DRrzYD,False,0.664,0.212,6,-7.762,0.046,0.931,0.0,0.102,0.574,83.245,2.8576833333333336
0pEkK8MqbmGSX7fT8WLMbR,Grace,Divinely Uninspired To A Hellish Extent,5658aM19fA3JVwTK6eQX70,False,0.722,0.565,4,-5.848,0.0335,0.435,0.0,0.165,0.488,104.483,3.0943
4Of7rzpRpV1mWRbhp5rAqG,Bruises,Divinely Uninspired To A Hellish Extent,5658aM19fA3JVwTK6eQX70,False,0.736,0.308,4,-7.83,0.0677,0.946,0.0,0.186,0.361,111.202,3.674866666666667
60iSKGrGazRzICtMjADNSM,Hold Me While You Wait,Divinely Uninspired To A Hellish Extent,5658aM19fA3JVwTK6eQX70,False,0.688,0.53,11,-5.507,0.0333,0.443,0.0,0.0995,0.162,106.958,3.428116666666667
5HU2B0yEnvg5EUB8FWeoda,Maybe,Divinely Uninspired To A Hellish Extent,5658aM19fA3JVwTK6eQX70,False,0.681,0.636,4,-5.485,0.0409,0.65,0.0,0.258,0.341,96.966,3.5019333333333336
3fpVWegR6YOS1Yk5HSMYIq,Paranoid,beerbongs & bentleys,6trNtQUgC8cgbWcqoMYkOR,False,0.625,0.536,0,-5.428,0.0776,0.038,2.31e-05,0.167,0.253,159.914,3.69645
5VuxWXbt7XENQCtE9TzpTv,Spoil My Night (feat. Swae Lee),beerbongs & bentleys,6trNtQUgC8cgbWcqoMYkOR,False,0.672,0.717,1,-2.714,0.034,0.341,2.4e-05,0.106,0.225,160.981,3.2426666666666666
2VdT56BGpdqNHUgOe1j5vc,Rich & Sad,beerbongs & bentleys,6trNtQUgC8cgbWcqoMYkOR,False,0.599,0.571,2,-4.998,0.0665,0.198,0.0,0.0969,0.285,151.974,3.4408833333333333
5lZZmityu9TAjNvSY6GLhR,Zack And Codeine,beerbongs & bentleys,6trNtQUgC8cgbWcqoMYkOR,False,0.738,0.824,5,-5.165,0.0437,0.15,0.0,0.132,0.386,138.039,3.406
5ffntNJnJOeFv7b7DCd0Bw,Takin' Shots,beerbongs & bentleys,6trNtQUgC8cgbWcqoMYkOR,False,0.762,0.621,0,-6.24,0.0866,0.61,0.0,0.464,0.593,120.056,3.6124500000000004
7sWRlDoTDX8geTR8zzr2vt,Hollywood's Bleeding,Hollywood's Bleeding,4g1ZRSobMefqF6nelkgibi,False,0.405,0.646,4,-3.206,0.0476,0.331,0.0,0.103,0.17,130.218,2.60445
05mDaV9Vb3wrzjF6OPZnhq,Saint-Tropez,Hollywood's Bleeding,4g1ZRSobMefqF6nelkgibi,False,0.617,0.684,0,-3.618,0.0439,0.0545,0.0,0.104,0.295,132.113,2.5144499999999996
0Xek5rqai2jcOWCYWJfVCF,Enemies (feat. DaBaby),Hollywood's Bleeding,4g1ZRSobMefqF6nelkgibi,False,0.542,0.674,6,-4.169,0.21,0.0588,0.0,0.0955,0.667,76.388,3.279333333333333
